category,Value11,value21
bicycle,1092,966
foot,6231,4823
other,297,776
noWork,51004,100625
home,7722,19775
metro,39,26
train,1231,478
bus,1758,678
taxi,208,252
motorcycle,445,264
carDriver,41289,35046
carPassenger,3255,2612
bicycle,1751,1300
foot,6571,4851
other,225,484
noWork,32803,71101
home,5919,10949
metro,26,13
train,317,97
bus,1128,410
taxi,30,131
motorcycle,253,151
carDriver,32815,27416
carPassenger,2631,1995
bicycle,456,315
foot,3855,3141
other,161,415
noWork,24494,50810
home,3184,12876
metro,101,105
train,2919,1421
bus,2455,1219
taxi,157,365
motorcycle,353,199
carDriver,25980,22141
carPassenger,2615,2220
bicycle,1038,894
foot,3768,3594
other,168,426
noWork,18250,44035
home,13362,50157
metro,220,289
train,6781,2142
bus,10988,5417
taxi,412,745
motorcycle,754,366
carDriver,84858,64214
carPassenger,5839,4588
bicycle,2756,2303
foot,10637,8377
other,523,1210
noWork,68180,154967
home,6376,18809
metro,97,45
train,1115,526
bus,5023,2256
taxi,593,1319
motorcycle,410,195
carDriver,57793,50924
carPassenger,6014,4392
bicycle,1693,1260
foot,7101,5439
other,907,1278
noWork,53532,110152
home,6933,17161
metro,31,33
train,753,452
bus,8467,3679
taxi,1327,3933
motorcycle,872,561
carDriver,67766,65636
carPassenger,9190,8760
bicycle,1574,1620
foot,10739,9618
other,457,1127
noWork,74699,145789
home,10191,26151
metro,102,34
train,1031,251
bus,1057,371
taxi,92,98
motorcycle,358,200
carDriver,38528,31378
carPassenger,2682,1932
bicycle,1260,809
foot,5272,4521
other,192,491
noWork,26963,68489
home,8194,20942
metro,74,25
train,749,176
bus,1212,664
taxi,72,66
motorcycle,487,290
carDriver,37822,30820
carPassenger,2843,1960
bicycle,1197,860
foot,4491,3657
other,201,459
noWork,24613,61185
home,7705,27418
metro,2762,1066
train,894,520
bus,15151,7848
taxi,740,888
motorcycle,520,305
carDriver,70607,60684
carPassenger,9356,6697
bicycle,1588,1499
foot,11310,8803
other,878,1423
noWork,84041,157021
home,6184,18509
metro,95,35
train,2580,681
bus,823,521
taxi,61,92
motorcycle,322,190
carDriver,29522,20502
carPassenger,1637,1308
bicycle,764,484
foot,2691,2634
other,289,407
noWork,17597,45090
home,8738,38024
metro,5201,3815
train,17391,6442
bus,8926,6899
taxi,468,436
motorcycle,1399,952
carDriver,43228,36070
carPassenger,2726,2412
bicycle,2019,1561
foot,7184,6484
other,378,1129
noWork,41052,105415
home,6447,17587
metro,96,73
train,4202,2200
bus,1227,477
taxi,227,214
motorcycle,567,387
carDriver,38697,37930
carPassenger,3365,2990
bicycle,1351,935
foot,6365,5725
other,266,684
noWork,35797,82474
home,8228,25495
metro,100,53
train,883,440
bus,5791,2859
taxi,636,812
motorcycle,610,334
carDriver,66912,56355
carPassenger,7585,5259
bicycle,1485,1101
foot,9997,6984
other,566,919
noWork,74178,137877
home,8849,36022
metro,84,64
train,1359,514
bus,9164,6612
taxi,472,830
motorcycle,1163,559
carDriver,66389,55279
carPassenger,6613,6049
bicycle,4592,3289
foot,10395,7517
other,419,1131
noWork,44581,115544
home,7651,25970
metro,173,895
train,3470,1326
bus,11143,5818
taxi,543,1013
motorcycle,675,336
carDriver,61044,55422
carPassenger,5893,4889
bicycle,1401,1199
foot,9519,7739
other,380,1047
noWork,59567,125417
home,2789,8238
metro,14,10
train,798,337
bus,1412,794
taxi,209,253
motorcycle,263,179
carDriver,26053,22401
carPassenger,2705,2382
bicycle,826,739
foot,3074,2533
other,138,293
noWork,18552,40489
home,6448,18441
metro,188,113
train,7310,1949
bus,972,610
taxi,109,104
motorcycle,349,191
carDriver,22492,17606
carPassenger,1304,1063
bicycle,321,192
foot,2148,1920
other,172,385
noWork,17644,45299
home,8611,17497
metro,51,22
train,1276,612
bus,1570,1059
taxi,111,121
motorcycle,627,432
carDriver,36612,33785
carPassenger,2976,2228
bicycle,952,779
foot,5929,5013
other,247,590
noWork,30509,72666
home,6331,20430
metro,60,41
train,1047,525
bus,3113,1134
taxi,849,2347
motorcycle,556,364
carDriver,52405,48046
carPassenger,6198,5392
bicycle,1644,1297
foot,5840,5159
other,329,762
noWork,43907,100044
home,6231,13322
metro,104,77
train,2726,1090
bus,1250,642
taxi,284,288
motorcycle,416,309
carDriver,33483,33570
carPassenger,2915,2432
bicycle,1683,1018
foot,5483,4895
other,282,638
noWork,42193,90008
home,7402,23856
metro,70,33
train,1857,510
bus,1332,570
taxi,233,247
motorcycle,442,256
carDriver,37902,31784
carPassenger,3054,2418
bicycle,1669,1102
foot,5331,4528
other,319,562
noWork,25041,64631
home,5205,15532
metro,33,21
train,261,79
bus,1860,1034
taxi,29,43
motorcycle,452,206
carDriver,26859,24174
carPassenger,1859,1520
bicycle,1778,1088
foot,3068,2489
other,140,336
noWork,18141,48360
home,5793,14408
metro,100,72
train,2092,1448
bus,3435,2076
taxi,344,561
motorcycle,560,362
carDriver,31182,29473
carPassenger,3698,3166
bicycle,1364,1194
foot,6377,5787
other,255,641
noWork,39252,81397
home,5416,19608
metro,4441,1698
train,2559,1101
bus,960,491
taxi,161,153
motorcycle,321,165
carDriver,25508,19817
carPassenger,1582,1170
bicycle,532,403
foot,2376,1948
other,143,395
noWork,18441,46823
home,5186,21081
metro,1337,1980
train,11715,6046
bus,2831,2602
taxi,439,555
motorcycle,784,530
carDriver,45376,43245
carPassenger,4136,3548
bicycle,1078,1016
foot,4230,4355
other,308,990
noWork,36704,90052
home,6831,23812
metro,125,78
train,7085,2200
bus,1268,603
taxi,147,123
motorcycle,511,283
carDriver,35795,30531
carPassenger,2560,1984
bicycle,830,564
foot,4638,3712
other,203,539
noWork,26442,67775
home,6853,12155
metro,31,20
train,525,340
bus,2469,1971
taxi,316,379
motorcycle,864,580
carDriver,32974,31532
carPassenger,3370,3068
bicycle,779,702
foot,8413,7442
other,318,746
noWork,37088,80389
home,2582,9051
metro,30,14
train,475,189
bus,1892,896
taxi,308,359
motorcycle,301,182
carDriver,28057,25181
carPassenger,3074,2129
bicycle,326,199
foot,3089,2184
other,127,270
noWork,25846,51621
home,5830,7776
metro,16,7
train,87,45
bus,842,604
taxi,65,68
motorcycle,260,152
carDriver,16961,16989
carPassenger,1470,1174
bicycle,365,217
foot,3348,2746
other,158,273
noWork,17108,38061
home,9046,78219
metro,45880,21452
train,7225,7111
bus,14314,9010
taxi,645,896
motorcycle,867,787
carDriver,12593,14106
carPassenger,990,985
bicycle,7785,7208
foot,20672,13900
other,856,1721
noWork,75679,154914
home,11166,45450
metro,5490,2476
train,1511,520
bus,7479,3068
taxi,560,771
motorcycle,495,230
carDriver,66954,46255
carPassenger,5030,3126
bicycle,3393,2499
foot,8338,6204
other,496,959
noWork,51894,123494
home,8021,23633
metro,117,67
train,8121,1724
bus,1296,835
taxi,156,130
motorcycle,346,192
carDriver,28420,21856
carPassenger,2200,1629
bicycle,643,506
foot,7690,4855
other,224,473
noWork,24818,59413
home,6217,18011
metro,276,125
train,3378,991
bus,573,294
taxi,112,89
motorcycle,232,127
carDriver,24826,21785
carPassenger,1426,1131
bicycle,433,319
foot,3138,2453
other,161,415
noWork,16314,45598
home,5886,20395
metro,83,38
train,3450,1363
bus,1681,925
taxi,251,222
motorcycle,328,214
carDriver,38079,30055
carPassenger,3177,2064
bicycle,998,626
foot,4701,3510
other,344,506
noWork,32838,72024
home,7808,29239
metro,100,41
train,1369,344
bus,3625,1941
taxi,90,103
motorcycle,622,344
carDriver,37672,29825
carPassenger,2604,1988
bicycle,3907,2313
foot,5157,4229
other,227,495
noWork,24296,68049
home,11373,36965
metro,116,58
train,3964,1555
bus,10513,6240
taxi,1356,2150
motorcycle,967,632
carDriver,95373,92253
carPassenger,11418,9602
bicycle,1869,1834
foot,14373,11976
other,506,1377
noWork,89169,188729
home,8150,22044
metro,396,270
train,1530,1101
bus,11286,7237
taxi,572,1532
motorcycle,680,414
carDriver,70793,68776
carPassenger,7275,6944
bicycle,1747,1415
foot,9460,7690
other,381,1111
noWork,79704,165591
home,9193,52765
metro,38962,25097
train,12074,6810
bus,13024,10142
taxi,663,762
motorcycle,1072,858
carDriver,32437,27532
carPassenger,2190,1974
bicycle,3306,4975
foot,7500,7773
other,600,1684
noWork,69957,138054
home,16635,107639
metro,48906,16503
train,34864,7948
bus,22859,13863
taxi,463,821
motorcycle,3624,1747
carDriver,23913,17724
carPassenger,1237,1041
bicycle,12804,9146
foot,12494,12338
other,783,1671
noWork,64951,137064
home,9336,32647
metro,142,51
train,2068,686
bus,4946,2056
taxi,368,764
motorcycle,677,408
carDriver,67670,52839
carPassenger,5650,4639
bicycle,2577,2552
foot,7038,5666
other,384,883
noWork,48605,107783
home,8208,32535
metro,77,47
train,2205,635
bus,2511,896
taxi,132,193
motorcycle,393,183
carDriver,42674,28640
carPassenger,3277,2140
bicycle,2171,1402
foot,7705,5567
other,255,510
noWork,33275,75705
home,4048,17899
metro,2230,1547
train,4897,1872
bus,2217,1636
taxi,195,312
motorcycle,379,258
carDriver,24369,19958
carPassenger,1725,1620
bicycle,1066,996
foot,6296,6181
other,212,582
noWork,18651,49387
home,9954,28929
metro,151,65
train,6402,1269
bus,980,450
taxi,72,73
motorcycle,404,233
carDriver,33448,23326
carPassenger,2183,1557
bicycle,876,579
foot,4439,3743
other,269,498
noWork,26439,67507
home,11746,26043
metro,144,49
train,4742,1255
bus,1383,696
taxi,139,150
motorcycle,411,253
carDriver,43864,38611
carPassenger,2986,2319
bicycle,686,530
foot,4673,3989
other,310,647
noWork,34795,85608
home,5452,21001
metro,658,399
train,5236,2056
bus,2187,1238
taxi,258,615
motorcycle,385,230
carDriver,29264,24092
carPassenger,2442,2071
bicycle,1363,1259
foot,5561,4651
other,175,538
noWork,28533,61684
home,10689,33988
metro,116,65
train,3791,918
bus,2918,1217
taxi,151,133
motorcycle,494,292
carDriver,50622,35715
carPassenger,3904,2773
bicycle,2064,1250
foot,6644,5310
other,286,651
noWork,30375,79141
home,5245,7973
metro,31,11
train,162,56
bus,556,284
taxi,83,38
motorcycle,185,126
carDriver,14580,13172
carPassenger,1103,829
bicycle,271,235
foot,2856,2353
other,169,307
noWork,13700,31712
home,5648,13497
metro,94,31
train,1678,695
bus,1451,753
taxi,571,835
motorcycle,276,141
carDriver,33181,29653
carPassenger,3102,2781
bicycle,857,731
foot,4568,3904
other,268,525
noWork,29907,63883
home,5681,10950
metro,32,16
train,289,166
bus,694,287
taxi,73,108
motorcycle,306,173
carDriver,28141,24887
carPassenger,2129,1549
bicycle,860,563
foot,3518,3063
other,245,374
noWork,23563,53017
home,7665,20629
metro,81,42
train,969,272
bus,2398,1156
taxi,85,57
motorcycle,482,263
carDriver,34837,28364
carPassenger,2525,1849
bicycle,2234,1432
foot,5038,4394
other,201,466
noWork,19648,55311
home,15542,56766
metro,35632,9768
train,4936,2080
bus,15789,7075
taxi,1513,993
motorcycle,1270,569
carDriver,9626,6703
carPassenger,810,542
bicycle,5092,3600
foot,19949,12238
other,1020,1409
noWork,64326,102494
home,10864,34432
metro,78,61
train,3274,1227
bus,8516,5514
taxi,755,1172
motorcycle,1137,597
carDriver,99323,89571
carPassenger,9757,8167
bicycle,2354,1850
foot,13301,10678
other,549,1345
noWork,86587,174716
home,32701,85967
metro,352,152
train,5865,1738
bus,6270,3845
taxi,522,468
motorcycle,1894,1103
carDriver,145883,122462
carPassenger,11356,8743
bicycle,6638,4445
foot,26680,21174
other,1055,2244
noWork,100379,257988
home,8633,26249
metro,111,61
train,3134,578
bus,1625,865
taxi,87,106
motorcycle,427,219
carDriver,33027,24217
carPassenger,2086,1628
bicycle,1103,802
foot,6744,5324
other,341,524
noWork,27177,66871
home,10898,36565
metro,335,206
train,6374,1862
bus,984,444
taxi,298,331
motorcycle,511,247
carDriver,43781,27949
carPassenger,2549,1948
bicycle,1684,1006
foot,6131,4969
other,406,774
noWork,30296,77194
home,11602,37299
metro,1355,332
train,8249,3643
bus,9929,6123
taxi,907,1290
motorcycle,1273,598
carDriver,83682,71581
carPassenger,8351,6033
bicycle,2275,1874
foot,11193,9101
other,1113,1626
noWork,90922,180696
home,5842,23570
metro,180,108
train,7922,1951
bus,1159,615
taxi,171,261
motorcycle,386,247
carDriver,28095,19735
carPassenger,1875,1563
bicycle,1339,902
foot,4181,3275
other,191,517
noWork,20381,51201
home,10842,45352
metro,153,124
train,5568,1376
bus,2652,1336
taxi,138,122
motorcycle,511,264
carDriver,52016,33381
carPassenger,2800,2121
bicycle,1943,1157
foot,4456,3578
other,298,656
noWork,30896,88035
home,7229,21002
metro,1562,1157
train,2819,1672
bus,11692,6938
taxi,690,2102
motorcycle,638,342
carDriver,60420,60083
carPassenger,6767,7188
bicycle,2170,1718
foot,9870,7890
other,427,1218
noWork,75699,152418
home,4210,13607
metro,27,26
train,891,582
bus,2235,1064
taxi,169,290
motorcycle,386,217
carDriver,29408,25742
carPassenger,2831,2510
bicycle,2087,1335
foot,7643,5833
other,214,425
noWork,23281,52243
home,5271,16767
metro,59,40
train,3149,1426
bus,1563,1053
taxi,156,217
motorcycle,479,306
carDriver,27755,23647
carPassenger,2553,2019
bicycle,2545,1763
foot,6875,5821
other,206,499
noWork,23727,57781
home,5324,11277
metro,37,14
train,496,223
bus,3361,1525
taxi,424,687
motorcycle,397,238
carDriver,42179,38061
carPassenger,5187,4361
bicycle,808,683
foot,5128,4242
other,273,496
noWork,35077,73312
home,8527,19207
metro,53,29
train,862,372
bus,902,510
taxi,102,118
motorcycle,396,214
carDriver,38727,35289
carPassenger,2940,2445
bicycle,1051,863
foot,4465,4080
other,243,534
noWork,27213,68832
home,5406,12479
metro,45,227
train,548,247
bus,1994,1128
taxi,229,191
motorcycle,404,198
carDriver,31480,26895
carPassenger,2916,1989
bicycle,1340,834
foot,3820,3038
other,376,611
noWork,29105,64111
home,5143,10559
metro,28,17
train,1149,464
bus,844,364
taxi,202,318
motorcycle,390,199
carDriver,30702,27431
carPassenger,2792,2307
bicycle,781,546
foot,4121,3254
other,187,331
noWork,25992,55818
home,9297,34159
metro,96,53
train,2406,593
bus,7039,3194
taxi,377,384
motorcycle,947,526
carDriver,45123,35183
carPassenger,4463,2826
bicycle,11106,7001
foot,17457,11480
other,410,797
noWork,51068,106623
